state,date,crop_type,planted_area,production,temperature,humidity
Johor,1/1/18,industrial_crops,13625.3,98700,27 ,77%
Johor,1/1/19,industrial_crops,11369.7,102455,29 ,75%
Johor,1/1/20,industrial_crops,12463.1,110575.5,28 ,77%
Johor,1/1/21,industrial_crops,12975.7,123560.5,26 ,83%
Johor,1/1/22,industrial_crops,13820.5,128173.1,28 ,73%
Johor,1/1/17,paddy,3000,8563,28 ,77%
Johor,1/1/18,paddy,2866,9424,27 ,77%
Johor,1/1/19,paddy,2555,7704,29 ,75%
Johor,1/1/20,paddy,2547,7502,28 ,77%
Johor,1/1/21,paddy,2505,9031,26 ,83%
Johor,1/1/22,paddy,2776,10832,28 ,73%
Johor,1/1/17,spices,1507.6,14532.3,28 ,77%
Johor,1/1/18,spices,999,11548.8,27 ,77%
Johor,1/1/19,spices,962,13679.7,29 ,"	75%"
Johor,1/1/20,spices,1211.6,15368.5,28 ,77%
Johor,1/1/21,spices,1645.5,18401.5,26 ,83%
Johor,1/1/22,spices,1568,17925.1,28 ,73%
Johor,1/1/17,flowers,16117.2,203846,28 ,77%
Johor,1/1/18,flowers,14502.9,198459.8,27 ,77%
Johor,1/1/19,flowers,15359.3,203996.5,29 ,75%
Johor,1/1/20,flowers,14843.7,208260.3,28 ,77%
Johor,1/1/21,flowers,17186.9,242213.7,26 ,83%
Johor,1/1/22,flowers,17188.3,245330.4,28 ,73%
Kedah,1/1/17,cash_crops,760.4,5439.2,27 ,80%
Kedah,1/1/18,cash_crops,662.3,5429.3,27 ,80%
Kedah,1/1/19,cash_crops,611.8,5341,28 ,"	72%"
Kedah,1/1/20,cash_crops,579.5,3318.3,29 ,"	72%"
Kedah,1/1/21,cash_crops,517.1,4093.7,27 ,75%
Kedah,1/1/22,cash_crops,496.2,4462.4,28 ,75%
Kedah,1/1/17,coconut,1289.4,5754.5,27 ,80%
Kedah,1/1/18,coconut,897,6558.9,27 ,80%
Kedah,1/1/19,coconut,995.7,5131.3,28 ,"	72%"
Kedah,1/1/20,coconut,2155.1,10046.3,29 ,"	72%"
Kedah,1/1/21,coconut,1854.4,10185.3,27 ,75%
Kedah,1/1/22,coconut,1773.7,31787.5,28 ,75%
Kedah,1/1/17,vegetables,33.9,746350,27 ,80%
Kedah,1/1/18,vegetables,34.5,759785,27 ,80%
Kedah,1/1/19,vegetables,35.2,774221,28 ,"	72%"
Kedah,1/1/20,vegetables,34.2,589956,29 ,"	72%"
Kedah,1/1/21,vegetables,40.9,724037,27 ,75%
Kedah,1/1/22,vegetables,40.5,718245,28 ,75%
Kedah,1/1/17,fruits,10687,49420.8,27 ,80%
Kedah,1/1/18,fruits,11972.4,69874,27 ,80%
Kedah,1/1/19,fruits,11242,71440.5,28 ,"	72%"
Kedah,1/1/20,fruits,11175.4,61839.5,29 ,"	72%"
Kedah,1/1/21,fruits,9733.8,73092.9,27 ,75%
Kedah,1/1/22,fruits,9762.2,96009.6,28 ,75%
Kedah,1/1/17,herbs,169.8,563,27 ,80%
Kedah,1/1/18,herbs,175,532.6,27 ,80%
Kedah,1/1/19,herbs,174.9,442.7,28 ,"	72%"
Kedah,1/1/20,herbs,196.4,367.2,29 ,"	72%"
Kedah,1/1/21,herbs,103.5,319.7,27 ,75%
Kedah,1/1/22,herbs,176.5,282.7,28 ,75%
Kedah,1/1/17,industrial_crops,2378.1,8081.6,27 ,80%
Kedah,1/1/18,industrial_crops,1178.6,8929.7,27 ,80%
Kedah,1/1/19,industrial_crops,1248.4,8448.9,28 ,"	72%"
Kedah,1/1/20,industrial_crops,2440.4,12265.2,29 ,"	72%"
Kedah,1/1/21,industrial_crops,2119.7,12885.6,27 ,75%
